Sn1,Sn2,Sn3,Sn4,Sn5,Sn6,Sn7,Sn8,Sn9,Sn10,Tt,dloc,ED,overload_loc
-9.2275e-05,9.57e-05,9.369499999999998e-05,8.043e-05,-0.00013303099999999998,0.00027692000000000005,9.0781e-05,-8.300000000000012e-06,0.00016275399999999998,0.000376223,27.92088309,61,1,0
-0.000205137,0.000105221,0.000435949,0.000120353,-0.000188589,0.000534874,0.000226508,-7.950000000000001e-05,0.000211214,0.000520227,37.43144825,7,4,0
-0.00010298,4.99e-05,0.000213506,5.76e-05,-9.54e-05,0.000264046,0.000110934,-4.06e-05,0.000103252,0.000256269,20.05478105,38,5,0
-0.000137384,6.829999999999999e-05,0.000288256,7.890000000000001e-05,-0.00012696700000000002,0.000356131,0.000150122,-5.3799999999999986e-05,0.000139693,0.00034556400000000003,25.93263357,24,5,0
-0.000105536,5.14e-05,0.00021935900000000005,5.91e-05,-9.78e-05,0.000270833,0.000113686,-4.18e-05,0.000105822,0.000262897,20.48943484,63,4,0
-0.000176595,9.98e-05,0.00040051,0.000107555,-0.000168931,0.000479987,0.000203218,-6.95e-05,0.000192384,0.0004689330000000001,34.06736643,0,6,0
-0.000160564,8.14e-05,0.000339014,9.53e-05,-0.000146889,0.000419598,0.000177228,-6.3e-05,0.000164271,0.000406466,30.0,76,8,0
-0.000211095,0.000108868,0.000450563,0.000125887,-0.00019431,0.00055515,0.000234642,-8.27e-05,0.000218133,0.000538404,38.66025404,56,8,0
-0.00020684400000000005,0.00011384600000000001,0.00044964,0.000129023,-0.0002018476,0.00055643,0.000238054,-8.126e-05,0.00022752099999999998,0.0005584686,39.94521895,12,7,0
-0.000124854,6.234099999999999e-05,0.00025938000000000003,7.339302000000001e-05,-0.00011640299999999999,0.000324148,0.000136667,-4.9706e-05,0.000127681,0.0003175662,24.12214748,75,4,0
-0.000347917,5.3799999999999986e-05,0.000223268,5.91e-05,-9.73e-05,0.000282875,0.000112914,-4.15e-05,0.000106365,0.000262818,20.48943484,5,6,0
-0.00014823699999999998,7.4497e-05,0.000311644,8.61181e-05,-0.000137737,0.000385757,0.00016267200000000002,-5.8431999999999985e-05,0.00015172700000000002,0.0003757491,27.92088309,72,2,0
-6.501e-05,9.22e-05,-2.2594999999999986e-05,7.104000000000001e-05,-0.000101061,0.000205048,4.680500000000001e-05,1.98e-05,0.00014254,0.000314715,24.12214748,95,3,0
-0.000110475,5.24e-05,0.000225948,6.17e-05,-0.000101296,0.000284526,0.000121354,-4.04e-05,0.00011264,0.000275706,21.33974596,44,6,0
-0.000194855,0.000100022,0.0004153230000000001,0.000115208,-0.000179885,0.000511601,0.000216231,-7.62e-05,0.000201263,0.000496424,35.87785252,80,1,0
-0.000208252,0.000108626,0.000442309,0.00012470540000000002,-0.000195319,0.000547369,0.000232504,-8.088000000000001e-05,0.0002188481,0.0005389478000000001,38.66025404,7,4,0
-0.00012673,6.29e-05,0.000265863,7.240000000000001e-05,-0.000117314,0.00032768699999999995,0.000137758,-5.02e-05,0.000128255,0.000318085,24.12214748,93,6,0
-0.00020993,0.000109545,0.00045218,0.000124709,-0.000194998,0.00055471,0.000234693,-8.190000000000001e-05,0.000219092,0.000538873,38.66025404,17,8,0
1.6712999999999987e-05,0.000108217,-2.335000000000011e-06,0.000113335,-0.000187808,0.00016548799999999993,0.000108585,1.999999999999913e-07,0.00022071,0.000521891,37.43144825,91,1,2
-0.000103039,5.03e-05,0.00021425,5.770000000000001e-05,-9.56e-05,0.000263998,0.000110887,-4.13e-05,0.000102948,0.000256286,20.05478105,26,2,0
-0.000183296,9.4e-05,0.000386714,0.000112918,-0.0006434219999999999,0.00048308,0.00020532,-7.049999999999999e-05,0.000188959,0.000492692,34.06736643,85,6,0
-0.000211002,0.000108818,0.000450724,0.000125326,-0.000194681,0.000555134,0.000234774,-8.240000000000001e-05,0.00021842,0.000538625,38.66025404,71,3,0
-0.000126575,6.29e-05,0.000265259,7.26e-05,-0.000116792,0.00032766,0.000137939,-4.99e-05,0.000128052,0.00031784,24.12214748,72,8,0
-0.000154788,8.052900000000001e-05,0.00032745500000000004,9.2495e-05,-0.000149133,0.000410452,0.00017486799999999998,-5.952e-05,0.0001660572,0.0004077143,30.0,59,4,0
-0.00010319,5.1047e-05,0.00021326,5.92668e-05,-9.7938e-05,0.000266582,0.00011215,-4.172e-05,0.0001056222,0.0002629072,20.48943484,47,3,0
-0.00015441799999999994,9.295e-05,0.000330689,0.000107486,-0.000171121,0.00044259,0.000188462,-6.22e-05,0.00019078,0.000469449,34.06736643,9,1,0
-0.00016068700000000002,8.14e-05,0.000340275,9.39e-05,-0.00014835100000000002,0.000419627,0.00017712,-6.3e-05,0.00016482200000000002,0.000407158,30.0,77,6,0
-0.00013731,8.135e-05,0.000276666,8.478000000000001e-05,-0.00013632,0.000367956,0.00014870200000000001,-4.8630000000000014e-05,0.000154618,0.00037579519999999996,27.92088309,11,9,0
-0.000126643,6.29e-05,0.000265987,7.240000000000001e-05,-0.000117354,0.00032765,0.000137704,-5.02e-05,0.000128288,0.000318068,24.12214748,32,2,0
